0,2,2,2,0,4,0,0,7,3,3,4,0,0,7,6,5,4,8,1,1,6,5,0,8,0,0,6,5,9,8,0,0,0,0,9 * D
0,0,2,2,0,0,3,5,5,5,0,8,3,0,4,0,0,8,1,1,4,6,7,8,0,0,4,6,7,0,0,0,0,0,0,0 * D
9,0,0,0,6,6,9,0,7,7,0,5,0,8,8,8,0,5,1,1,2,0,0,5,0,0,2,3,3,0,0,0,2,0,4,4 * D
2,3,6,6,6,8,2,3,7,7,7,8,2,3,4,9,0,8,1,1,4,9,0,0,0,0,4,0,0,0,0,5,5,0,0,0 * D
6,7,7,7,8,0,6,5,5,0,8,0,0,0,4,0,8,0,1,1,4,0,0,0,0,2,3,0,0,0,0,2,3,0,0,0 ** D
2,2,2,0,0,0,3,3,0,0,5,0,0,4,4,4,5,6,1,1,9,7,0,6,0,0,9,7,0,0,0,0,9,8,8,8 ** D
0,0,3,0,0,0,2,0,3,0,4,4,2,0,3,0,0,0,0,1,1,0,6,5,9,9,0,0,6,5,8,8,8,0,7,7 ** D
2,2,2,0,0,0,3,4,5,6,6,6,3,4,5,0,7,0,3,1,1,0,7,8,0,0,0,0,7,8,0,9,9,0,0,8 ** D
2,0,3,3,0,0,2,0,4,5,6,6,0,0,4,5,0,0,1,1,0,5,7,0,0,0,0,0,7,0,0,9,9,9,8,8 *** D
0,0,3,4,4,0,0,0,3,0,5,0,2,2,2,6,5,0,0,1,1,6,5,0,8,7,7,6,0,0,8,0,0,0,9,9 *** D
0,0,0,2,2,0,4,0,6,3,3,0,4,0,6,7,0,8,4,1,1,7,0,8,0,0,0,7,0,8,5,5,5,0,0,0 *** D
0,3,0,4,5,5,2,3,0,4,6,0,2,1,1,7,6,0,11,11,11,7,6,0,0,0,10,8,8,0,12,12,10,9,9,0 *** D
0,2,2,3,4,4,5,5,6,3,0,0,7,0,6,8,8,8,7,1,1,9,10,11,7,12,0,9,10,11,0,12,0,13,13,11 **** G

